ocid,titre,organisme,nb_signaux,signaux,montant,url_seao
ocds-ec9k95-1349316,Service d'échographie prostatique écho guidée avec biopsie,Centre intégré de santé et de services sociaux de Laval,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",209895.6,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=9eae298a-f9c3-4f7c-bcbc-69fe50a68154
ocds-ec9k95-1336362,Entretien ménager- Ecole Marie-Assomption de Guigues,Centre de services scolaire du Lac-Témiscamingue,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",208410.01,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=67e23e3d-0ab4-45c1-add3-d3ec68acec02
ocds-ec9k95-1260295,Services en entretien ménager école Saint-Louis de Nédélec,Centre de services scolaire du Lac-Témiscamingue,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",202818.38,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=a2af4d88-6183-41f2-b476-ab571a84e34d
ocds-ec9k95-917720,Services professionnels en ingénierie de stucture et civil pour la construction d'une école primaire à Terrebonne (secteur Lachenaie),Centre de services scolaire des Affluents,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",196025.49,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=72ef4d72-8af7-4473-bc3d-5d0e01edcd59
ocds-ec9k95-1200673,7007-18-HE04 - Mandat relatif au programme de contrats à exécution sur demande 7001-17-GE01 pour la surveillance des travaux de remplacement de la structure P-09351 par un ponceau en béton armé P-18913 sur la rue Notre-Dame (Trois-Rivières),Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",187985.79,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=26c4e626-38cd-4075-b49d-8937d62da4f8
ocds-ec9k95-1454283,"066-Réfection des salles de toilettes, des planchers et de l'éclairage",Centre de services scolaire des Sommets,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",182761.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=a5495c87-bcba-4756-b158-2029ec520067
ocds-ec9k95-1293623,8901-19-0907 - Stabilisation de talus de déblai sur l'autoroute 5 (Chelsea).,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",180216.1,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=de4fdeef-9ba6-457c-ae24-3c45eaa12795
ocds-ec9k95-1645292,FRQnet Phase IV - Avenant 3,Fonds de Recherche du Québec - Nature et technologies,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",180000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=9c66f284-bc78-4c04-973d-2ac956eb3f6f
ocds-ec9k95-1628750,Transport de cadavres - rég. 07 (Outaouais),Bureau du coroner,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",178000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=6523928e-a92e-4d1c-a297-61a80f8e3adb
ocds-ec9k95-1480383,Raccordement détecteurs de gaz et ajout communicateurs d'alarme - Lot A,Centre de services scolaire de la Côte-du-Sud,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",176033.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=d55101bf-012b-4d62-8d1a-4b09f0d4542b
ocds-ec9k95-20000687,École La Source - Réfection du bassin de toiture C1,Centre de services scolaire de l'Énergie,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",173501.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=a76aedd5-a457-4591-b0e4-946e4a88129c
ocds-ec9k95-1819625,Réaménagement hémato-oncologie à Mont-laurier,Santé Québec Laurentides,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",170921.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=f6cab568-2f11-4e2b-8ec2-0f8cfc96fcb8
ocds-ec9k95-1197054,"Lot PJR-F0645 - Mobilier carcéral au 183, avenue de la Cathédrale, Rimouski (Québec) G5L 5J1",Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",170000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c51e33f5-ca8b-4aba-a5cc-72e832c4be52
ocds-ec9k95-1673111,Services d'un auditeur indépendant,Champlain Regional College,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",170000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=2f80f8f1-4eec-4de5-8f20-10ead1e67272
